policy,pool,ops,pages,write_frac,logical_reads,logical_writes,phys_reads,phys_writes,page_hits,page_misses
0,200
LRU,5,200,10,0.30,200,74,200,63,0,200
LRU,5,200,10,0.40,200,95,200,84,0,200
LRU,5,200,10,0.50,200,114,200,102,0,200
LRU,5,200,10,0.60,200,135,200,123,0,200
LRU,5,200,10,0.70,200,154,200,142,0,200
LRU,5,200,10,0.80,200,179,200,166,0,200
LRU,5,200,10,0.90,200,192,200,179,0,200
LRU,5,200,10,1.00,200,220,200,205,0,200
MRU,5,200,10,0.00,200,20,110,10,90,110
MRU,5,200,10,0.10,200,32,110,19,90,110
MRU,5,200,10,0.20,200,55,110,37,90,110
MRU,5,200,10,0.30,200,74,110,51,90,110
MRU,5,200,10,0.40,200,95,110,61,90,110
MRU,5,200,10,0.50,200,114,110,67,90,110
MRU,5,200,10,0.60,200,135,110,78,90,110
MRU,5,200,10,0.70,200,154,110,86,90,110
MRU,5,200,10,0.80,200,179,110,95,90,110
MRU,5,200,10,0.90,200,192,110,102,90,110
MRU,5,200,10,1.00,200,220,110,115,90,110
